[2025-10-21T17:45:46.527+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-21T17:45:46.551+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T17:45:45.179461+00:00 [queued]>
[2025-10-21T17:45:46.566+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T17:45:45.179461+00:00 [queued]>
[2025-10-21T17:45:46.567+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-21T17:45:46.582+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_airbnb_forsale> on 2025-10-21 17:45:45.179461+00:00
[2025-10-21T17:45:46.591+0000] {standard_task_runner.py:63} INFO - Started process 217 to run task
[2025-10-21T17:45:46.595+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'airbnb_etl_pipeline', 'extract_airbnb_forsale', 'manual__2025-10-21T17:45:45.179461+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/airbnb_etl_dag.py', '--cfg-path', '/tmp/tmpt6scvs38']
[2025-10-21T17:45:46.598+0000] {standard_task_runner.py:91} INFO - Job 15: Subtask extract_airbnb_forsale
[2025-10-21T17:45:46.674+0000] {task_command.py:426} INFO - Running <TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T17:45:45.179461+00:00 [running]> on host 7b5c622c061b
[2025-10-21T17:45:46.769+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='airbnb_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_airbnb_forsale' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T17:45:45.179461+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-21T17:45:45.179461+00:00'
[2025-10-21T17:45:46.772+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-21T17:45:46.785+0000] {logging_mixin.py:188} INFO - Fetching: Orlando, Florida
[2025-10-21T17:45:49.618+0000] {logging_mixin.py:188} INFO - Fetching: Miami, Florida
[2025-10-21T17:45:51.966+0000] {logging_mixin.py:188} INFO - Fetching: Key West, Florida
[2025-10-21T17:45:53.315+0000] {logging_mixin.py:188} INFO - Fetching: St. Augustine, Florida
[2025-10-21T17:45:55.640+0000] {logging_mixin.py:188} INFO - Fetching: Tampa, Florida
[2025-10-21T17:45:57.112+0000] {logging_mixin.py:188} INFO - Fetching: Clearwater, Florida
[2025-10-21T17:45:59.733+0000] {logging_mixin.py:188} INFO - Fetching: Kissimmee, Florida
[2025-10-21T17:46:01.150+0000] {logging_mixin.py:188} INFO - Fetching: Ft. Walton Beach , FloridaAustin, Texas
[2025-10-21T17:46:02.559+0000] {logging_mixin.py:188} INFO - Fetching: San Antonio, Texas
[2025-10-21T17:46:03.898+0000] {logging_mixin.py:188} INFO - Fetching: Galveston, Texas
[2025-10-21T17:46:05.326+0000] {logging_mixin.py:188} INFO - Fetching: Wilmington, North Carolina
[2025-10-21T17:46:06.773+0000] {logging_mixin.py:188} INFO - Fetching: Boone, North Carolina
[2025-10-21T17:46:08.164+0000] {logging_mixin.py:188} INFO - Fetching: Lake Norman, North Carolina
[2025-10-21T17:46:09.599+0000] {logging_mixin.py:188} INFO - Fetching: Cleveland, Georgia
[2025-10-21T17:46:11.088+0000] {logging_mixin.py:188} INFO - Fetching: Helen, Georgia
[2025-10-21T17:46:12.440+0000] {logging_mixin.py:188} INFO - Fetching: Columbus, Georgia
[2025-10-21T17:46:13.838+0000] {logging_mixin.py:188} INFO - Fetching: Virgina Beach, Virgina
[2025-10-21T17:46:15.242+0000] {logging_mixin.py:188} INFO - Fetching: Washington, D.C
[2025-10-21T17:46:16.694+0000] {logging_mixin.py:188} INFO - Fetching: Traverse City, Michigan
[2025-10-21T17:46:18.057+0000] {logging_mixin.py:188} INFO - Fetching: Ann Arbor, Michigan
[2025-10-21T17:46:19.451+0000] {logging_mixin.py:188} INFO - Fetching: Grand Rapids, Michigan
[2025-10-21T17:46:20.822+0000] {logging_mixin.py:188} INFO - Fetching: Jacksonville, Florida
[2025-10-21T17:46:22.222+0000] {logging_mixin.py:188} INFO - Fetching: Tallahassee, Florida
[2025-10-21T17:46:23.732+0000] {logging_mixin.py:188} INFO - Fetching: Gainesville, Florida
[2025-10-21T17:46:25.090+0000] {logging_mixin.py:188} INFO - Fetching: Ocala, Florida
[2025-10-21T17:46:26.570+0000] {logging_mixin.py:188} INFO - Fetching: Daytona Beach, Florida
[2025-10-21T17:46:27.995+0000] {logging_mixin.py:188} INFO - Fetching: Fort Lauderdale, Florida
[2025-10-21T17:46:39.100+0000] {logging_mixin.py:188} INFO - Fetching: West Palm Beach, Florida
[2025-10-21T17:46:40.482+0000] {logging_mixin.py:188} INFO - Fetching: Naples, Florida
[2025-10-21T17:46:41.913+0000] {logging_mixin.py:188} INFO - Fetching: Fort Myers, Florida
[2025-10-21T17:46:43.370+0000] {logging_mixin.py:188} INFO - Fetching: Sarasota, Florida
[2025-10-21T17:46:44.806+0000] {logging_mixin.py:188} INFO - Fetching: Pensacola, Florida
[2025-10-21T17:46:46.460+0000] {logging_mixin.py:188} INFO - Fetching: Destin, Florida
[2025-10-21T17:46:47.833+0000] {logging_mixin.py:188} INFO - Fetching: Panama City Beach, Florida
[2025-10-21T17:46:49.229+0000] {logging_mixin.py:188} INFO - Fetching: St. Petersburg, Florida
[2025-10-21T17:46:50.643+0000] {logging_mixin.py:188} INFO - Fetching: Port St. Lucie, Florida
[2025-10-21T17:46:52.089+0000] {logging_mixin.py:188} INFO - Fetching: Detroit, Michigan
[2025-10-21T17:46:53.567+0000] {logging_mixin.py:188} INFO - Fetching: Lansing, Michigan
[2025-10-21T17:46:54.975+0000] {logging_mixin.py:188} INFO - Fetching: Flint, Michigan
[2025-10-21T17:46:56.348+0000] {logging_mixin.py:188} INFO - Fetching: Kalamazoo, Michigan
[2025-10-21T17:46:57.665+0000] {logging_mixin.py:188} INFO - Fetching: Battle Creek, Michigan
[2025-10-21T17:46:59.081+0000] {logging_mixin.py:188} INFO - Fetching: Muskegon, Michigan
[2025-10-21T17:47:00.454+0000] {logging_mixin.py:188} INFO - Fetching: Holland, Michigan
[2025-10-21T17:47:01.828+0000] {logging_mixin.py:188} INFO - Fetching: Marquette, Michigan
[2025-10-21T17:47:03.215+0000] {logging_mixin.py:188} INFO - Fetching: Petoskey, Michigan
[2025-10-21T17:47:04.667+0000] {logging_mixin.py:188} INFO - Fetching: Bay City, Michigan
[2025-10-21T17:47:06.101+0000] {logging_mixin.py:188} INFO - Fetching: Atlanta, Georgia
[2025-10-21T17:47:07.501+0000] {logging_mixin.py:188} INFO - Fetching: Augusta, Georgia
[2025-10-21T17:47:08.848+0000] {logging_mixin.py:188} INFO - Fetching: Savannah, Georgia
[2025-10-21T17:47:10.235+0000] {logging_mixin.py:188} INFO - Fetching: Macon, Georgia
[2025-10-21T17:47:11.604+0000] {logging_mixin.py:188} INFO - Fetching: Albany, Georgia
[2025-10-21T17:47:12.933+0000] {logging_mixin.py:188} INFO - Fetching: Valdosta, Georgia
[2025-10-21T17:47:14.376+0000] {logging_mixin.py:188} INFO - Fetching: Athens, Georgia
[2025-10-21T17:47:15.781+0000] {logging_mixin.py:188} INFO - Fetching: Marietta, Georgia
[2025-10-21T17:47:17.179+0000] {logging_mixin.py:188} INFO - Fetching: Roswell, Georgia
[2025-10-21T17:47:18.585+0000] {logging_mixin.py:188} INFO - Fetching: Dalton, Georgia
[2025-10-21T17:47:19.965+0000] {logging_mixin.py:188} INFO - Fetching: Charlotte, North Carolina
[2025-10-21T17:47:21.388+0000] {logging_mixin.py:188} INFO - Fetching: Raleigh, North Carolina
[2025-10-21T17:47:22.758+0000] {logging_mixin.py:188} INFO - Fetching: Durham, North Carolina
[2025-10-21T17:47:24.159+0000] {logging_mixin.py:188} INFO - Fetching: Greensboro, North Carolina
[2025-10-21T17:47:25.516+0000] {logging_mixin.py:188} INFO - Fetching: Asheville, North Carolina
