[2025-10-21T19:20:36.801+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-21T19:20:36.857+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T19:20:31.904533+00:00 [queued]>
[2025-10-21T19:20:36.870+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T19:20:31.904533+00:00 [queued]>
[2025-10-21T19:20:36.872+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-21T19:20:36.896+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_airbnb_forsale> on 2025-10-21 19:20:31.904533+00:00
[2025-10-21T19:20:36.917+0000] {standard_task_runner.py:63} INFO - Started process 184 to run task
[2025-10-21T19:20:36.926+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'airbnb_etl_pipeline', 'extract_airbnb_forsale', 'manual__2025-10-21T19:20:31.904533+00:00', '--job-id', '22', '--raw', '--subdir', 'DAGS_FOLDER/airbnb_etl_dag.py', '--cfg-path', '/tmp/tmphfmxyj_o']
[2025-10-21T19:20:36.933+0000] {standard_task_runner.py:91} INFO - Job 22: Subtask extract_airbnb_forsale
[2025-10-21T19:20:37.083+0000] {task_command.py:426} INFO - Running <TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T19:20:31.904533+00:00 [running]> on host abb000c1ba76
[2025-10-21T19:20:37.307+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='airbnb_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_airbnb_forsale' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T19:20:31.904533+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-21T19:20:31.904533+00:00'
[2025-10-21T19:20:37.310+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-21T19:20:37.385+0000] {logging_mixin.py:188} INFO - Fetching: Orlando, Florida
[2025-10-21T19:20:39.202+0000] {logging_mixin.py:188} INFO - Fetching: Miami, Florida
[2025-10-21T19:20:42.196+0000] {logging_mixin.py:188} INFO - Fetching: Key West, Florida
[2025-10-21T19:20:44.480+0000] {logging_mixin.py:188} INFO - Fetching: St. Augustine, Florida
[2025-10-21T19:20:46.716+0000] {logging_mixin.py:188} INFO - Fetching: Tampa, Florida
[2025-10-21T19:20:48.145+0000] {logging_mixin.py:188} INFO - Fetching: Clearwater, Florida
[2025-10-21T19:20:49.583+0000] {logging_mixin.py:188} INFO - Fetching: Kissimmee, Florida
[2025-10-21T19:20:51.935+0000] {logging_mixin.py:188} INFO - Fetching: Ft. Walton Beach , FloridaAustin, Texas
[2025-10-21T19:20:53.851+0000] {logging_mixin.py:188} INFO - Fetching: San Antonio, Texas
[2025-10-21T19:20:55.245+0000] {logging_mixin.py:188} INFO - Fetching: Galveston, Texas
[2025-10-21T19:20:57.531+0000] {logging_mixin.py:188} INFO - Fetching: Wilmington, North Carolina
[2025-10-21T19:20:59.879+0000] {logging_mixin.py:188} INFO - Fetching: Boone, North Carolina
[2025-10-21T19:21:01.408+0000] {logging_mixin.py:188} INFO - Fetching: Lake Norman, North Carolina
[2025-10-21T19:21:03.872+0000] {logging_mixin.py:188} INFO - Fetching: Cleveland, Georgia
[2025-10-21T19:21:06.554+0000] {logging_mixin.py:188} INFO - Fetching: Helen, Georgia
[2025-10-21T19:21:08.951+0000] {logging_mixin.py:188} INFO - Fetching: Columbus, Georgia
[2025-10-21T19:21:10.388+0000] {logging_mixin.py:188} INFO - Fetching: Virgina Beach, Virgina
[2025-10-21T19:21:12.551+0000] {logging_mixin.py:188} INFO - Fetching: Washington, D.C
[2025-10-21T19:21:14.788+0000] {logging_mixin.py:188} INFO - Fetching: Traverse City, Michigan
[2025-10-21T19:21:17.198+0000] {logging_mixin.py:188} INFO - Fetching: Ann Arbor, Michigan
[2025-10-21T19:21:19.426+0000] {logging_mixin.py:188} INFO - Fetching: Grand Rapids, Michigan
[2025-10-21T19:21:21.883+0000] {logging_mixin.py:188} INFO - Fetching: Jacksonville, Florida
[2025-10-21T19:21:23.364+0000] {logging_mixin.py:188} INFO - Fetching: Tallahassee, Florida
