[2025-10-21T19:57:07.332+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-21T19:57:07.387+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T19:57:05.716903+00:00 [queued]>
[2025-10-21T19:57:07.414+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T19:57:05.716903+00:00 [queued]>
[2025-10-21T19:57:07.415+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-21T19:57:07.433+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_airbnb_forsale> on 2025-10-21 19:57:05.716903+00:00
[2025-10-21T19:57:07.443+0000] {standard_task_runner.py:63} INFO - Started process 209 to run task
[2025-10-21T19:57:07.447+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'airbnb_etl_pipeline', 'extract_airbnb_forsale', 'manual__2025-10-21T19:57:05.716903+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/airbnb_etl_dag.py', '--cfg-path', '/tmp/tmpo71smgn6']
[2025-10-21T19:57:07.451+0000] {standard_task_runner.py:91} INFO - Job 29: Subtask extract_airbnb_forsale
[2025-10-21T19:57:07.545+0000] {task_command.py:426} INFO - Running <TaskInstance: airbnb_etl_pipeline.extract_airbnb_forsale manual__2025-10-21T19:57:05.716903+00:00 [running]> on host b58697e26e05
[2025-10-21T19:57:07.647+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='airbnb_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_airbnb_forsale' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T19:57:05.716903+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-21T19:57:05.716903+00:00'
[2025-10-21T19:57:07.650+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-21T19:57:07.686+0000] {logging_mixin.py:188} INFO - Fetching: Orlando, Florida
[2025-10-21T19:57:10.636+0000] {logging_mixin.py:188} INFO - Fetching: Miami, Florida
[2025-10-21T19:57:12.876+0000] {logging_mixin.py:188} INFO - Fetching: Key West, Florida
[2025-10-21T19:57:14.444+0000] {logging_mixin.py:188} INFO - Fetching: St. Augustine, Florida
[2025-10-21T19:57:16.683+0000] {logging_mixin.py:188} INFO - Fetching: Tampa, Florida
[2025-10-21T19:57:18.880+0000] {logging_mixin.py:188} INFO - Fetching: Clearwater, Florida
[2025-10-21T19:57:20.280+0000] {logging_mixin.py:188} INFO - Fetching: Kissimmee, Florida
[2025-10-21T19:57:22.549+0000] {logging_mixin.py:188} INFO - Fetching: Ft. Walton Beach , FloridaAustin, Texas
[2025-10-21T19:57:24.478+0000] {logging_mixin.py:188} INFO - Fetching: San Antonio, Texas
[2025-10-21T19:57:25.938+0000] {logging_mixin.py:188} INFO - Fetching: Galveston, Texas
[2025-10-21T19:57:28.138+0000] {logging_mixin.py:188} INFO - Fetching: Wilmington, North Carolina
[2025-10-21T19:57:30.718+0000] {logging_mixin.py:188} INFO - Fetching: Boone, North Carolina
[2025-10-21T19:57:32.154+0000] {logging_mixin.py:188} INFO - Fetching: Lake Norman, North Carolina
[2025-10-21T19:57:33.545+0000] {logging_mixin.py:188} INFO - Fetching: Cleveland, Georgia
[2025-10-21T19:57:35.750+0000] {logging_mixin.py:188} INFO - Fetching: Helen, Georgia
[2025-10-21T19:57:37.180+0000] {logging_mixin.py:188} INFO - Fetching: Columbus, Georgia
[2025-10-21T19:57:39.489+0000] {logging_mixin.py:188} INFO - Fetching: Virgina Beach, Virgina
[2025-10-21T19:57:41.699+0000] {logging_mixin.py:188} INFO - Fetching: Washington, D.C
[2025-10-21T19:57:43.084+0000] {logging_mixin.py:188} INFO - Fetching: Traverse City, Michigan
[2025-10-21T19:57:44.809+0000] {logging_mixin.py:188} INFO - Fetching: Ann Arbor, Michigan
[2025-10-21T19:57:47.893+0000] {logging_mixin.py:188} INFO - Fetching: Grand Rapids, Michigan
[2025-10-21T19:57:50.167+0000] {logging_mixin.py:188} INFO - Fetching: Jacksonville, Florida
[2025-10-21T19:57:53.007+0000] {logging_mixin.py:188} INFO - Fetching: Tallahassee, Florida
[2025-10-21T19:57:54.430+0000] {logging_mixin.py:188} INFO - Fetching: Gainesville, Florida
[2025-10-21T19:57:56.586+0000] {logging_mixin.py:188} INFO - Fetching: Ocala, Florida
[2025-10-21T19:57:57.999+0000] {logging_mixin.py:188} INFO - Fetching: Daytona Beach, Florida
[2025-10-21T19:58:00.390+0000] {logging_mixin.py:188} INFO - Fetching: Fort Lauderdale, Florida
[2025-10-21T19:58:02.882+0000] {logging_mixin.py:188} INFO - Fetching: West Palm Beach, Florida
[2025-10-21T19:58:05.669+0000] {logging_mixin.py:188} INFO - Fetching: Naples, Florida
[2025-10-21T19:58:07.198+0000] {logging_mixin.py:188} INFO - Fetching: Fort Myers, Florida
[2025-10-21T19:58:09.499+0000] {logging_mixin.py:188} INFO - Fetching: Sarasota, Florida
[2025-10-21T19:58:11.886+0000] {logging_mixin.py:188} INFO - Fetching: Pensacola, Florida
[2025-10-21T19:58:14.099+0000] {logging_mixin.py:188} INFO - Fetching: Destin, Florida
[2025-10-21T19:58:16.499+0000] {logging_mixin.py:188} INFO - Fetching: Panama City Beach, Florida
[2025-10-21T19:58:17.988+0000] {logging_mixin.py:188} INFO - Fetching: St. Petersburg, Florida
[2025-10-21T19:58:20.376+0000] {logging_mixin.py:188} INFO - Fetching: Port St. Lucie, Florida
[2025-10-21T19:58:22.937+0000] {logging_mixin.py:188} INFO - Fetching: Detroit, Michigan
[2025-10-21T19:58:24.452+0000] {logging_mixin.py:188} INFO - Fetching: Lansing, Michigan
[2025-10-21T19:58:25.970+0000] {logging_mixin.py:188} INFO - Fetching: Flint, Michigan
[2025-10-21T19:58:28.529+0000] {logging_mixin.py:188} INFO - Fetching: Kalamazoo, Michigan
[2025-10-21T19:58:30.986+0000] {logging_mixin.py:188} INFO - Fetching: Battle Creek, Michigan
[2025-10-21T19:58:32.480+0000] {logging_mixin.py:188} INFO - Fetching: Muskegon, Michigan
[2025-10-21T19:58:35.147+0000] {logging_mixin.py:188} INFO - Fetching: Holland, Michigan
[2025-10-21T19:58:37.895+0000] {logging_mixin.py:188} INFO - Fetching: Marquette, Michigan
[2025-10-21T19:58:39.301+0000] {logging_mixin.py:188} INFO - Fetching: Petoskey, Michigan
[2025-10-21T19:58:41.038+0000] {logging_mixin.py:188} INFO - Fetching: Bay City, Michigan
[2025-10-21T19:58:43.326+0000] {logging_mixin.py:188} INFO - Fetching: Atlanta, Georgia
[2025-10-21T19:58:45.728+0000] {logging_mixin.py:188} INFO - Fetching: Augusta, Georgia
[2025-10-21T19:58:48.240+0000] {logging_mixin.py:188} INFO - Fetching: Savannah, Georgia
[2025-10-21T19:58:50.183+0000] {logging_mixin.py:188} INFO - Fetching: Macon, Georgia
[2025-10-21T19:58:51.957+0000] {logging_mixin.py:188} INFO - Fetching: Albany, Georgia
[2025-10-21T19:58:54.346+0000] {logging_mixin.py:188} INFO - Fetching: Valdosta, Georgia
[2025-10-21T19:58:56.616+0000] {logging_mixin.py:188} INFO - Fetching: Athens, Georgia
[2025-10-21T19:58:59.131+0000] {logging_mixin.py:188} INFO - Fetching: Marietta, Georgia
[2025-10-21T19:59:01.757+0000] {logging_mixin.py:188} INFO - Fetching: Roswell, Georgia
[2025-10-21T19:59:03.203+0000] {logging_mixin.py:188} INFO - Fetching: Dalton, Georgia
[2025-10-21T19:59:05.566+0000] {logging_mixin.py:188} INFO - Fetching: Charlotte, North Carolina
[2025-10-21T19:59:08.368+0000] {logging_mixin.py:188} INFO - Fetching: Raleigh, North Carolina
[2025-10-21T19:59:10.648+0000] {logging_mixin.py:188} INFO - Fetching: Durham, North Carolina
[2025-10-21T19:59:12.222+0000] {logging_mixin.py:188} INFO - Fetching: Greensboro, North Carolina
[2025-10-21T19:59:14.607+0000] {logging_mixin.py:188} INFO - Fetching: Asheville, North Carolina
[2025-10-21T19:59:16.791+0000] {logging_mixin.py:188} INFO - Fetching: Winston-Salem, North Carolina
[2025-10-21T19:59:18.938+0000] {logging_mixin.py:188} INFO - Fetching: Chapel Hill, North Carolina
[2025-10-21T19:59:20.453+0000] {logging_mixin.py:188} INFO - Fetching: Cary, North Carolina
[2025-10-21T19:59:22.755+0000] {logging_mixin.py:188} INFO - Fetching: Hickory, North Carolina
[2025-10-21T19:59:24.172+0000] {logging_mixin.py:188} INFO - Fetching: Fayetteville, North Carolina
