2025-10-21 19:20:37.391 | PID:183 | TID123549303142208| API key not found in environment variables. Application may not function correctly.
2025-10-21 19:20:50.685 | PID:183 | TID123549303142208| ❌ Clearwater, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:51.055 | PID:183 | TID123549303142208| ❌ Kissimmee, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:51.443 | PID:183 | TID123549303142208| ❌ Ft. Walton Beach , FloridaAustin, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:52.619 | PID:183 | TID123549303142208| ❌ San Antonio, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:53.025 | PID:183 | TID123549303142208| ❌ Galveston, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:53.423 | PID:183 | TID123549303142208| ❌ Wilmington, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:56.223 | PID:183 | TID123549303142208| ❌ Lake Norman, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:20:59.116 | PID:183 | TID123549303142208| ❌ Helen, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:02.122 | PID:183 | TID123549303142208| ❌ Virgina Beach, Virgina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:05.302 | PID:183 | TID123549303142208| ❌ Traverse City, Michigan failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:08.098 | PID:183 | TID123549303142208| ❌ Grand Rapids, Michigan failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:10.811 | PID:183 | TID123549303142208| ❌ Tallahassee, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:11.254 | PID:183 | TID123549303142208| ❌ Gainesville, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:18.396 | PID:183 | TID123549303142208| ❌ West Palm Beach, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:20.924 | PID:183 | TID123549303142208| ❌ Fort Myers, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:23.897 | PID:183 | TID123549303142208| ❌ Pensacola, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:24.250 | PID:183 | TID123549303142208| ❌ Destin, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:28.326 | PID:183 | TID123549303142208| ❌ St. Petersburg, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:35.842 | PID:183 | TID123549303142208| ❌ Flint, Michigan failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:41.262 | PID:183 | TID123549303142208| ❌ Muskegon, Michigan failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:48.835 | PID:183 | TID123549303142208| ❌ Bay City, Michigan failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:49.259 | PID:183 | TID123549303142208| ❌ Atlanta, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:51.913 | PID:183 | TID123549303142208| ❌ Savannah, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:52.351 | PID:183 | TID123549303142208| ❌ Macon, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:55.199 | PID:183 | TID123549303142208| ❌ Valdosta, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:21:58.948 | PID:183 | TID123549303142208| ❌ Marietta, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:07.826 | PID:183 | TID123549303142208| ❌ Raleigh, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:08.177 | PID:183 | TID123549303142208| ❌ Durham, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:18.343 | PID:183 | TID123549303142208| ❌ Cary, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:27.938 | PID:183 | TID123549303142208| ❌ Fort Worth, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:28.379 | PID:183 | TID123549303142208| ❌ El Paso, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:30.981 | PID:183 | TID123549303142208| ❌ Corpus Christi, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:31.481 | PID:183 | TID123549303142208| ❌ Amarillo, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:34.126 | PID:183 | TID123549303142208| ❌ Plano, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:22:58.717 | PID:183 | TID123549303142208| ❌ Murfreesboro, Tennessee failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:23:04.948 | PID:183 | TID123549303142208| ❌ Chicago, Illinois failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:23:05.318 | PID:183 | TID123549303142208| ❌ Springfield, Illinois failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:23:53.051 | PID:183 | TID123549303142208| ❌ Mesa, Arizona failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:23:53.438 | PID:183 | TID123549303142208| ❌ Scottsdale, Arizona failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:23:59.217 | PID:183 | TID123549303142208| ❌ Sedona, Arizona failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:04.420 | PID:183 | TID123549303142208| ❌ Glendale, Arizona failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:26.304 | PID:183 | TID123549303142208| ❌ Provo, Utah failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:29.012 | PID:183 | TID123549303142208| ❌ Park City, Utah failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:31.832 | PID:183 | TID123549303142208| ❌ Logan, Utah failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:32.221 | PID:183 | TID123549303142208| ❌ Orem, Utah failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:36.644 | PID:183 | TID123549303142208| ❌ Sandy, Utah failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:37.069 | PID:183 | TID123549303142208| ❌ Layton, Utah failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
