2025-10-21 19:20:37.394 | PID:183 | TID123549303142208| 🌍 Fetching listings for Orlando, Florida
2025-10-21 19:20:40.049 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:40.054 | PID:183 | TID123549303142208| ✅ Orlando, Florida: 10 listings retrieved
2025-10-21 19:20:41.057 | PID:183 | TID123549303142208| 🌍 Fetching listings for Miami, Florida
2025-10-21 19:20:42.385 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:42.388 | PID:183 | TID123549303142208| ✅ Miami, Florida: 10 listings retrieved
2025-10-21 19:20:43.389 | PID:183 | TID123549303142208| 🌍 Fetching listings for Key West, Florida
2025-10-21 19:20:44.655 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:44.657 | PID:183 | TID123549303142208| ✅ Key West, Florida: 10 listings retrieved
2025-10-21 19:20:45.658 | PID:183 | TID123549303142208| 🌍 Fetching listings for St. Augustine, Florida
2025-10-21 19:20:46.845 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:46.847 | PID:183 | TID123549303142208| ✅ St. Augustine, Florida: 10 listings retrieved
2025-10-21 19:20:47.848 | PID:183 | TID123549303142208| 🌍 Fetching listings for Tampa, Florida
2025-10-21 19:20:49.291 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:49.293 | PID:183 | TID123549303142208| ✅ Tampa, Florida: 10 listings retrieved
2025-10-21 19:20:50.298 | PID:183 | TID123549303142208| 🌍 Fetching listings for Clearwater, Florida
2025-10-21 19:20:50.684 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:50.687 | PID:183 | TID123549303142208| 🌍 Fetching listings for Kissimmee, Florida
2025-10-21 19:20:51.053 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:51.056 | PID:183 | TID123549303142208| 🌍 Fetching listings for Ft. Walton Beach , FloridaAustin, Texas
2025-10-21 19:20:51.441 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:51.443 | PID:183 | TID123549303142208| 🌍 Fetching listings for San Antonio, Texas
2025-10-21 19:20:52.616 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:52.623 | PID:183 | TID123549303142208| 🌍 Fetching listings for Galveston, Texas
2025-10-21 19:20:53.024 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:53.026 | PID:183 | TID123549303142208| 🌍 Fetching listings for Wilmington, North Carolina
2025-10-21 19:20:53.422 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:53.424 | PID:183 | TID123549303142208| 🌍 Fetching listings for Boone, North Carolina
2025-10-21 19:20:54.623 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:54.626 | PID:183 | TID123549303142208| ✅ Boone, North Carolina: 10 listings retrieved
2025-10-21 19:20:55.630 | PID:183 | TID123549303142208| 🌍 Fetching listings for Lake Norman, North Carolina
2025-10-21 19:20:56.221 | PID:183 | TID123549303142208| Response code: 429
2025-10-21 19:20:56.225 | PID:183 | TID123549303142208| 🌍 Fetching listings for Cleveland, Georgia
2025-10-21 19:20:57.611 | PID:183 | TID123549303142208| Response code: 200
2025-10-21 19:20:57.614 | PID:183 | TID123549303142208| ✅ Cleveland, Georgia: 10 listings retrieved
2025-10-21 19:20:58.616 | PID:183 | TID123549303142208| 🌍 Fetching listings for Helen, Georgia
